Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Don't Breathe,2016.0,26 Aug 2016,"Crime, Horror, Thriller",88 min,Fede Alvarez,"Fede Alvarez, Rodo Sayagues","Stephen Lang, Jane Levy, Dylan Minnette",R,7.1,71.0,"314,247",7 wins & 21 nominations total,"$89,217,875","United States, Hungary",English,"Rocky, a young woman wanting to start a better life for her and her sister, agrees to take part in the robbery of a house owned by a wealthy blind man with her boyfriend Money and their friend Alex. But when the blind man turns out to be a more ruthless adversary than he seems, the group must find a way to escape his home before they become his latest victims.",https://m.media-amazon.com/images/M/MV5BNjAxOTJkMmEtNjg4MC00ODk3LTkwYmUtNjM3YzE5YTk1YTFjXkEyXkFqcGc@._V1_SX300.jpg
The Accountant,2016.0,14 Oct 2016,"Action, Crime, Drama",128 min,Gavin O'Connor,Bill Dubuque,"Ben Affleck, Anna Kendrick, J.K. Simmons",R,7.3,51.0,"336,771",3 wins & 5 nominations total,"$86,260,045",United States,"English, Indonesian, French","Christian Wolff is a math savant with more affinity for numbers than people. Behind the cover of a small-town CPA office, he works as a freelance accountant for some of the world's most dangerous criminal organizations. With the Treasury Department's Crime Enforcement Division, run by Ray King, starting to close in, Christian takes on a legitimate client: a state-of-the-art robotics company where an accounting clerk has discovered a discrepancy involving millions of dollars. But as Christian uncooks the books and gets closer to the truth, it is the body count that starts to rise.",https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_SX300.jpg
The Jungle Book,2016.0,15 Apr 2016,"Animation, Action, Adventure",106 min,Jon Favreau,"Justin Marks, Rudyard Kipling","Neel Sethi, Bill Murray, Ben Kingsley",PG,7.3,77.0,"298,158",Won 1 Oscar. 33 wins & 56 nominations total,"$364,001,123","United Kingdom, United States, New Zealand, France, Canada, India",English,"Living among the wolves in the jungle, young man cub Mowgli quickly learns to live life among his wolf pack and all the animals that inhabit the jungle, but when the villainous tiger Shere Khan threatens Mowgli's life, black panther Bagheera offers to take Mowgli to a nearby man village where he will be safe from the tiger's wrath. Along the way, Mowgli gets tangled up in a series of encounters with a sly snake named Kaa, a swimmingly ruthless gigantopithecus named King Louie and a lazy bear named Baloo, who quickly becomes his guide to the 'bear necessities' of life.",https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg
The BFG,2016.0,01 Jul 2016,"Adventure, Family, Fantasy",117 min,Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton",PG,6.3,66.0,"95,535",Nominated for 1 BAFTA Award4 wins & 26 nominations total,"$55,483,770","United Kingdom, India, United States","English, Hindi","Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.",https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg
Allegiant,2016.0,18 Mar 2016,"Action, Adventure, Mystery",120 min,Robert Schwentke,"Noah Oppenheim, Adam Cooper, Bill Collage","Shailene Woodley, Theo James, Jeff Daniels",PG-13,5.7,33.0,"138,773",3 wins & 12 nominations total,"$66,184,051",United States,English,"After the earth-shattering revelations of INSURGENT, Tris must escape with Four and go beyond the wall enclosing Chicago. For the first time ever, they will leave the only city and family they have ever known. Once outside, old discoveries are quickly rendered meaningless with the revelation of shocking new truths. Tris and Four must quickly decide who they can trust as a ruthless battle ignites beyond the walls of Chicago which threatens all of humanity. In order to survive, Tris will be forced to make impossible choices about courage, allegiance, sacrifice and love.",https://m.media-amazon.com/images/M/MV5BMzZlYzZlNDktMDAxMS00OGZiLThkYzAtNWEzNDliYjAyZmM5XkEyXkFqcGc@._V1_SX300.jpg
Captain Fantastic,2016.0,29 Jul 2016,"Comedy, Drama",118 min,Matt Ross,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler",R,7.8,72.0,"242,871",Nominated for 1 Oscar. 15 wins & 51 nominations total,"$5,879,835",United States,"English, Esperanto, German, Chinese","Ben and Leslie Cash live largely off the grid with their offspring -- Bodevan, Kielyr, Vespyr, Rellian, Zaja and Nai -- in a cabin in the mountains of Washington state. The parents have passed their socialist and survivalist ideals to their children. Ben considers most of Western society to be fascist, especially corporate America. He also believes that no one will or should be there for you, so you'd better learn how to take care of yourself. As such, the children have been subject to vigorous physical training; know how to deal with minor bumps, bruises, cuts, sprains, and even fractures; and know how to hunt, forage, and grow their own food. The children are also non-registered home schooled, meaning that they have no official academic records. Ben and Leslie have tried to make the children critical thinkers, however, within the context of their ideals. Beyond these issues, Ben and Leslie made the decision to live this lifestyle for Leslie's health. Formerly an attorney, Leslie was diagnosed as bipolar. Ben believes that this disorder started with her postpartum depression with Bo. Yet Leslie's condition has worsened. Despite not believing in Western medicine, Ben sends Leslie to a hospital close to Ben's sister, Harper, so that there can be family close by. While hospitalized, Leslie commits suicide. Beyond the collective grief, Leslie's act brings out a battle between Ben and Leslie's father, Jack Bertrang, a Christian who not only blames Ben for Leslie's death, but believes that what he is doing ""to"" the children can legally be considered abuse. Jack takes over the funeral arrangements as per his and his complacent wife Abby's Christian morals, against what Ben knows was Leslie's wishes, as she believed in Buddhist philosophies. Although Jack threatens to call the police if Ben shows up to the funeral, Ben and the children believe it is their mission to honor Leslie's last wishes to be cremated as per Buddhist philosophy. This mission not only may bring the divide between Jack and Ben to a head, but may also bring out some long dormant issues between the Cash children as they are exposed to commercial America in all its good and bad, and as Bo grows into manhood, he may have his own ideas of what he should do with the next phase of his life.",https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_SX300.jpg
Independence Day: Resurgence,2016.0,24 Jun 2016,"Action, Adventure, Sci-Fi",120 min,Roland Emmerich,"Gabriel Sherman, James A. Woods, Nicolas Wright","Liam Hemsworth, Jeff Goldblum, Bill Pullman",PG-13,5.2,32.0,"192,587",3 wins & 17 nominations total,"$103,144,286","United States, India","English, Mandarin, Russian","Two decades after the freak alien invasion that nearly destroyed mankind a new threat emerges. This Alien mothership is more than twice the size as the last one and once again, the world's armies must band together to save the world. Do they have enough firepower or will this battle change and will aliens take over?",https://m.media-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg
X-Men: Apocalypse,2016.0,27 May 2016,"Action, Adventure, Sci-Fi",144 min,Bryan Singer,"Simon Kinberg, Bryan Singer, Michael Dougherty","James McAvoy, Michael Fassbender, Jennifer Lawrence",PG-13,6.8,52.0,"476,826",1 win & 20 nominations total,"$155,442,489",United States,"English, Polish, German, Arabic, Egyptian (Ancient)","Since the dawn of civilization, he was worshiped as a god. Apocalypse, the first and most powerful mutant from Marvel's X-Men universe, amassed the powers of many other mutants, becoming immortal and invincible. Upon awakening after thousands of years, he is disillusioned with the world as he finds it and recruits a team of powerful mutants, including a disheartened Magneto, to cleanse mankind and create a new world order, over which he will reign. As the fate of the Earth hangs in the balance, Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction.",https://m.media-amazon.com/images/M/MV5BNjVhNWY3NjItNmZjOS00NTU3LWFiZTctNzdjNGM5Y2Y0MDUwXkEyXkFqcGc@._V1_SX300.jpg
Moana,2016.0,23 Nov 2016,"Animation, Adventure, Comedy",107 min,"Ron Clements, John Musker, Don Hall","Jared Bush, Ron Clements, John Musker","Auli'i Cravalho, Dwayne Johnson, Rachel House",PG,7.6,81.0,"406,093",Nominated for 2 Oscars. 22 wins & 90 nominations total,"$248,757,044",United States,"English, French","Moana Waialiki is a sea voyaging enthusiast and the only daughter of a chief in a long line of navigators. When her island's fishermen can't catch any fish and the crops fail, she learns that the demigod Maui caused the blight by stealing the heart of the goddess, Te Fiti. The only way to heal the island is to persuade Maui to return Te Fiti's heart, so Moana sets off on an epic journey across the Pacific. The film is based on stories from Polynesian mythology.",https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg
Pride and Prejudice and Zombies,2016.0,05 Feb 2016,"Action, Comedy, Fantasy",108 min,Burr Steers,"Burr Steers, Jane Austen, Seth Grahame-Smith","Lily James, Sam Riley, Jack Huston",PG-13,5.8,45.0,"61,727",1 win & 3 nominations total,"$10,938,134","United States, United Kingdom","English, Japanese, Chinese","The five highly trained Bennett sisters in Georgian England must try to protect themselves from the growing zombie threat, find suitable husbands for themselves, battle marriage proposals and unlikely suitors, and save the country before it's too late.",https://m.media-amazon.com/images/M/MV5BMjE1MzA3NzYxMl5BMl5BanBnXkFtZTgwMzQ0NDA5NzE@._V1_SX300.jpg
The Neon Demon,2016.0,24 Jun 2016,"Horror, Thriller",117 min,Nicolas Winding Refn,"Nicolas Winding Refn, Mary Laws, Polly Stenham","Elle Fanning, Christina Hendricks, Keanu Reeves",R,6.1,51.0,"106,843",18 wins & 39 nominations total,"$1,333,124","United States, Belgium, Denmark, France",English,"The sixteen year-old aspiring model Jesse arrives in Los Angeles expecting to be a successful model. The aspirant photographer Dean takes photos for her portfolio and dates her. Jesse befriends the lesbian makeup artist Ruby and then the envious models Gigi and Sarah in a party. Meanwhile, the agency considers Jesse beautiful with a ""thing"" that makes her different and she is sent to the professional photographer Jack. Jesse attracts the attention of the industry and experiences a successful beginning of her career. Ruby, Gigi and Sarah, however, will do whatever is necessary to get this ""thing"" for themselves.",https://m.media-amazon.com/images/M/MV5BNTAyOTkxNTQ3NV5BMl5BanBnXkFtZTgwMjQ1NzQxOTE@._V1_SX300.jpg
Criminal,2016.0,15 Apr 2016,"Action, Sci-Fi, Thriller",113 min,Ariel Vromen,"Douglas Cook, David Weisberg","Kevin Costner, Ryan Reynolds, Gal Gadot",R,6.3,36.0,"72,424",,"$14,708,696","United States, United Kingdom, Bulgaria","English, Russian, French","Bill Pope (Ryan Reynolds) is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman"" (Michael Pitt). When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous convict Jerico Stewart (Kevin Costner). When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and make the deal with him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.",https://m.media-amazon.com/images/M/MV5BMTg0ODc4Mzk2OF5BMl5BanBnXkFtZTgwNDk2MDkyODE@._V1_SX300.jpg
Underworld: Blood Wars,2016.0,06 Jan 2017,"Action, Fantasy, Horror",91 min,Anna Foerster,"Cory Goodman, Kyle Ward, Kevin Grevioux","Kate Beckinsale, Theo James, Tobias Menzies",R,5.8,23.0,"82,763",,"$30,353,973",United States,"English, Saami","The next installment in the blockbuster franchise, UNDERWORLD: BLOOD WARS follows Vampire death dealer, Selene (Kate Beckinsale) as she fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David (Theo James) and his father Thomas (Charles Dance), she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_SX300.jpg
Doctor Strange,2016.0,04 Nov 2016,"Action, Adventure, Fantasy",115 min,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",PG-13,7.5,72.0,"837,375",Nominated for 1 Oscar. 21 wins & 68 nominations total,"$232,641,920","United States, Hong Kong, Nepal",English,"Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.",https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg
